"Enable Module?", "Habilitar módulo?"
"Mass create order quantity", "Quantidade de pedidos para criação em massa(usado pelo cron)"
"Manage Status", "Gerenciar Status"
"Send orders Status Filter", "Selecione os status para análise do pedido"
"Status While Analyzing", "Status do pedido durante análise"
"Status after approved", "Status do pedido após aprovação"
"Status after manual approved", "Status após aprovação manual"
"Status after reproved", "Status do pedido após reprovação"
"Status when containing errors", "Status do pedido ao conter erros"
"Payment Methods Mapping", "Mapeamento dos métodos de pagamento"
"Allowed payment methods", "Métodos de pagamento permitidos para criação do pedido"
"Cron Settings", "Configurações do cron"
"Frequency", "Frequência"
"Yes", "Sim"
"No", "Não"
"-- Please Select --", "-- Favor escolher --"
"We cannot send the chargeback feedback.", "Não podemos enviar o feedback de estorno."
"Chargeback feedback has successfully submitted.", "O feedback de estorno foi enviado com sucesso."
"Do you want to mark this order with a chargeback?", "Deseja marcar este pedido com estorno?"
"Message", "Mensagem"
"Chargeback Marking", "Marcação de Estorno"
"Send chargeback marking", "Enviar marcação de Estorno"
"Do you want to update clearsale order status","Deseja atualizar o status do pedido do clearsale?"
"We cannot update order status at Clearsale.","Não podemos atualizar o status do pedido na Clearsale."
"Order status at clearsale has been successfully updated.","Status do pedido na clearsale foi atualizado com sucesso."
"Status update Clearsale","Atualização de Status Clearsale"
"Disapproved Payment","Pagamento Reprovado"
"Approved Payment","Pagamento Aprovado"
"Do you want to update clearsale order status?","Deseja atualizar o status do pedido da clearsale?"
"Status update","Atualizar status"
"Order not found","Pedido não encontrado"
"Cancel order if status reproved","Cancelar pedido se status for reprovado"
"Customer - Secondary Document","Cliente - Documento Secundário"
"Magento attribute that represents the client's secondary document, which will be submitted for Clearsale analysis. (Example: National ID Card)","Atributo que representa o documento secundário do cliente, que será enviado para análise da Clearsale. (Exemplo: RG)"
"Payment denied by Clearsale","Pagamento negado pela Clearsale"
"Payment in review by Clearsale","Pagamento em revisão por Clearsale"
"Failed to generate invoice","Falha ao gerar fatura"
"No items found to invoice","Nenhum item encontrado para faturar"
"Clearsale: Automatic invoice","Clearsale: fatura automática"
"Send orders from","Analisar pedidos feitos a partir de"
"Automatically generate invoice after approved","Gerar fatura automaticamente após aprovação"
"Required Taxvat not found for order: %1","CPF/CNPJ não encontrado - Pedido: %1"
"Check addresses field for order: %1","Revisar campos de endereço - Pedido: %1"
"CLEARSALE ERROR: Check %1 field(s) address!","ERRO CLEARSALE: Revisar campo(s) de endereço: %1"
"CLEARSALE ERROR: Check Street field address!","ERRO CLEARSALE: Revisar campo de endereço: Rua"
"CLEARSALE ERROR: Check Number field address!","ERRO CLEARSALE: Revisar campo de endereço: Número"
"CLEARSALE ERROR: Check  County field address!","ERRO CLEARSALE: Revisar campo de endereço: Bairro"
"CLEARSALE ERROR: Check City field address!","ERRO CLEARSALE: Revisar campo de endereço: Cidade"
"CLEARSALE ERROR: Check State field address!","ERRO CLEARSALE: Revisar campo de endereço: Estado"
"CLEARSALE ERROR: Check Zipcode field address!","ERRO CLEARSALE: Revisar campo de endereço: CEP"
"Telephone not found or not validated for order: %1","Telefone não encontrado ou não validado - Pedido: %1"
"Field to define the number of orders that will be sent for analysis by Clearsale at each job execution (Cron).","Campo para definir a quantidade de pedidos que serão enviados para a análise da Clearsale a cada execução de tarefa (Cron)."
"Field to inform from which date the orders must be analyzed by Clearsale.","Campo para informar a partir de qual data os pedidos devem ser analisados pela Clearsale."
"Field to choose which Magento order statuses will be allowed to be sent for analysis.<br> Default setting: Pending, Pending Payment, Processing.","Campo para escolher em qual status o pedido deverá estar para ser enviado para a Clearsale.<br><br> Configuração padrão: 'Pendente', 'Pagamento Pendente', 'Processando'."
"Field to choose what the status of the Magento order will be when it is <strong>being analyzed</strong> at Clearsale.<br> Default setting: 'aprovacao_clearsale'.","Campo para escolher qual será o status do pedido quando ele está <strong>em análise</strong> na Clearsale.<br><br> Configuração padrão: 'Em Aprovacao Clearsale'."
"Field to choose what the status of the Magento order will be <strong>after automatic approval</strong> in the Clearsale rules.<br> Default setting: 'aprovado_clearsale'.","Campo para escolher qual será o status do pedido <strong>após a aprovação automática</strong> nas regras da Clearsale.<br><br> Configuração padrão: 'Aprovado Clearsale'."
"Field to choose what the Magento order status will be <strong>after manual approval</strong>.<br> Default setting: 'aprovado_clearsale'.","Campo para escolher qual será o status do pedido <strong>após a aprovação manual</strong>.<br><br> Configuração padrão: 'Aprovado Clearsale'."
"Field to choose what the Magento order status will be <strong>after Clearsale disapproval</strong>.<br> Default setting: 'reprovado_clearsale'.","Campo para escolher qual será o status do pedido <strong>após a reprovação da Clearsale</strong>.<br><br> Configuração padrão: 'Reprovado Clearsale'."
"Field to choose what the Magento order status will be <strong>when it contains errors</strong>, which usually occur when there is no required field in the order. <em>Example: Address field not filled</em>.<br> Default setting: 'review_clearsale'.","Campo para escolher qual será o status do pedido <strong>quando conter erros</strong>, que geralmente ocorrem quando não há algum campo obrigatório no pedido. <em>Exemplo: campo de endereço não preenchido</em>.<br><br> Configuração padrão: 'Revisar Pedido Clearsale'."
