"Please select a store.","Por favor, selecione uma loja."
"Please select time interval.","Por favor, selecione um intervalo de tempo."
"Store Pickup With Locator Data","Coleta na Loja com Dados de Localização"
"Select Store To Collect Your Order","Selecione a loja para coletar seu pedido"
"Pickup Date","Data de Retirada"
"Pickup Time","Horário de Retirada"
by,por
"Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension.","Confuso com a configuração? Não se preocupe, consulte o <a target=""_blank"" href=""%1"">guia do usuário</a> para configurar a extensão corretamente."
"Please update Amasty Base module. Re-upload it and replace all the files.","Por favor, atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
"Choose a Pickup Date","Escolha uma Data de Retirada"
"Choose a Time Slot","Escolha um Intervalo de Horário"
"Shipping Address Area","Área de Endereço de Envio"
"Shipping Methods Area","Área de Métodos de Envio"
"Store Pickup Date/Time is not valid.","Data/Horário de Retirada na Loja não é válido."
"Unable to save model %1","Não é possível salvar o modelo %1"
"Entity with specified ID ""%1"" not found.","Entidade com o ID especificado ""%1"" não encontrada."
"Unable to remove entity with ID%","Não é possível remover a entidade com ID%"
"Comment length limit is exceeded. Please keep it less than %1 symbols.","Limite de tamanho do comentário foi excedido. Por favor, mantenha-o com menos de %1 símbolos."
"Please fill in the comment field.","Por favor, preencha o campo de comentário."
". ':'",". ':'"
". ' - ' .",". ' - ' ."
"If you select Store Pickup With Locator shipping method,
please insert data to additional fields for save.","Se você selecionar o método de envio de Retirada na Loja com Localizador,
insira dados nos campos adicionais para salvar."
"Store ID is not specified. Please, choose a store for pickup.","ID da loja não especificado. Por favor, escolha uma loja para retirada."
"Pickup data is empty. Please, specify pickup info.","Dados de retirada estão vazios. Por favor, especifique as informações de retirada."
"Pickup Details","Detalhes de Retirada"
"Store Pickup With Locator","Retirada na Loja com Localizador"
"Please Select","Por Favor, Selecione"
"Pick up here","Retirar aqui"
" can be found at the following stores: "," pode ser encontrado nas seguintes lojas: "
"Current location","Localização atual"
"Search Radius","Raio de Busca"
km,km
mi,mi
"Locate Nearby","Localizar Próximo"
Filter,Filtrar
